Brand,Model,Variant,Fuel Type,Engine Capacity (cc),Power (bhp),Torque (Nm),Mileage (km/l),Top Speed (km/h),Acceleration (0-60),Transmission (Gears),Fuel Tank (L),Front Brake,Rear Brake,ABS/CBS Type,Front Suspension,Rear Suspension,Weight (kg),Seat Height (mm),Ground Clearance (mm),Wheelbase (mm),Tyre Type,Console Type,Bluetooth,USB Port,Service Interval (km),Maintenance Cost (Annual),Price (Ex-Showroom),Launch Year,5 Year TCO (₹),Best For (Usage),Images
Honda,CB200X,Standard (STD),Petrol (E20),184.4 cc,17.26 PS,15.9 Nm,40-45 km/l,130 km/h,4.5 Sec,5-Speed,12 L,276mm Disc,220mm Disc,Single ABS,USD Fork (Gold),Monoshock,147 kg,810 mm,167 mm,1355 mm,Tubeless,Digital,No,No,"6,000 km","₹5,500","₹1,46,999*",2023,"~₹2,70,000",Urban Adventure,/assets/ai_generated_images/bikes/honda_cb200x.png
Honda,CB200X,Deluxe (DLX),Petrol (E20),184.4 cc,17.26 PS,15.9 Nm,40-45 km/l,130 km/h,4.5 Sec,5-Speed,12 L,276mm Disc,220mm Disc,Single ABS,USD Fork (Gold),Monoshock,147 kg,810 mm,167 mm,1355 mm,Tubeless,Digital,No,No,"6,000 km","₹5,800","₹1,51,000*",2024,"~₹2,80,000",Weekend Touring,/assets/ai_generated_images/bikes/honda_cb200x.png
Honda,CB300R,BS6 / OBD-2,Petrol (E20),286.01 cc,31.1 PS,27.5 Nm,30-32 km/l,150 km/h,2.4 Sec,6-Speed,9.7 L,296mm Disc,220mm Disc,Dual ABS,USD Fork,Monoshock,146 kg,801 mm,157 mm,1352 mm,Tubeless,Digital,No,No,"6,000 km","₹7,000","₹2,40,000*",2023,"~₹4,50,000",Premium Styling,/assets/ai_generated_images/bikes/honda_cb300r.png
TVS,Raider,Drum,Petrol,124.8 cc,11.38 PS,11.2 Nm,65-71 km/l,99 km/h,5.9 Sec,5-Speed,10.0 L,130mm Drum,130mm Drum,SBT (Sync),Telescopic,Monoshock,123 kg,780 mm,180 mm,1326 mm,Tubeless,Reverse LCD,No,No,"5,000 km","₹3,500","₹82,000",2021,"₹1,45,000",Budget Commute,/assets/Bikes/TVS/TVS RAIDER.png
TVS,Raider,Single Seat,Petrol,124.8 cc,11.38 PS,11.2 Nm,65-71 km/l,99 km/h,5.9 Sec,5-Speed,10.0 L,240mm Disc,130mm Drum,SBT (Sync),Telescopic,Monoshock,123 kg,780 mm,180 mm,1326 mm,Tubeless,Reverse LCD,No,No,"5,000 km","₹3,600","₹93,500",2023,"₹1,55,000",Family Use,/assets/Bikes/TVS/TVS RAIDER.png
TVS,Raider,Split Seat,Petrol,124.8 cc,11.38 PS,11.2 Nm,65-71 km/l,99 km/h,5.9 Sec,5-Speed,10.0 L,240mm Disc,130mm Drum,SBT (Sync),Telescopic,Monoshock,123 kg,780 mm,180 mm,1326 mm,Tubeless,Reverse LCD,No,Yes,"5,000 km","₹3,800","₹97,850",2021,"₹1,60,000",Sporty Commute,/assets/Bikes/TVS/TVS RAIDER.png
TVS,Raider,iGO,Petrol,124.8 cc,11.38 PS,11.7 Nm,67-72 km/l,100 km/h,5.8 Sec,5-Speed,10.0 L,240mm Disc,130mm Drum,SBT (Sync),Telescopic,Monoshock,123 kg,780 mm,180 mm,1326 mm,Tubeless,Reverse LCD,No,Yes,"5,000 km","₹4,000","₹97,850",2024,"₹1,62,000",Extra Mileage,/assets/Bikes/TVS/TVS RAIDER.png
TVS,Raider,SmartXonnect (SX),Petrol,124.8 cc,11.38 PS,11.2 Nm,65-68 km/l,99 km/h,5.9 Sec,5-Speed,10.0 L,240mm Disc,130mm Drum,SBT (Sync),Telescopic,Monoshock,123 kg,780 mm,180 mm,1326 mm,Tubeless,"5"" TFT",Yes,Yes,"5,000 km","₹4,500","₹1,02,300",2022,"₹1,70,000",Tech Lovers,/assets/Bikes/TVS/TVS RAIDER.png
Suzuki,V-Strom,SX 250 (2026),Petrol (E20),249.0 cc,26.5 PS,22.2 Nm,32-36 km/l,145 km/h,9.5 Sec,6-Speed,12.0 L,310mm Disc,240mm Disc,Dual ABS,Telescopic (Long),Monoshock,167 kg,835 mm,205 mm,1440 mm,Semi-Block,Digital LCD,Yes,Yes,"5,000 km","₹9,500",Check on-road price,2026,"₹3,40,000",Adventure Tourer,/assets/ai_generated_images/bikes/suzuki_vstrom_sx250.png
Suzuki,V-Strom,800DE (2026),Petrol (E20),776.0 cc,84.3 PS,78.0 Nm,20-22 km/l,190 km/h,4.1 Sec,6-Speed,20.0 L,Dual 310mm Disc,260mm Disc,Dual ABS+G Mode,Showa USD (Adj),Monoshock (Adj),232 kg,855 mm,220 mm,1570 mm,Spoke (Tube),"5"" Color TFT",No*,Yes,"6,000 km","₹18,000",Check on-road price,2024,"₹16,50,000",Hardcore Off-Road,/assets/ai_generated_images/bikes/suzuki_vstrom_800de.png
Suzuki,V-Strom,1050 (2026),Petrol (E20),1037.0 cc,107.0 PS,100.0 Nm,18-20 km/l,205 km/h,3.8 Sec,6-Speed,20.0 L,Dual 310mm Disc,260mm Disc,Motion Track ABS,KYB USD (Adj),KYB Monoshock,242 kg,855 mm,165 mm,1555 mm,Alloy (Tubeless),"5"" Color TFT",Yes,Yes,"6,000 km","₹28,000",Check on-road price,Late 2026,"₹22,00,000",Sports Touring,/assets/ai_generated_images/bikes/suzuki_vstrom_1050.png
Jawa,Standard,BS6 (Dual ABS),Petrol,293.0 cc,26.5 PS,27.0 Nm,30-34 km/l,128 km/h,12.0 Sec,6-Speed,14.0 L,280mm Disc,240mm Disc,Dual ABS,Telescopic,Gas Canister,172 kg,765 mm,165 mm,1369 mm,Tube (Spoke),Analogue,No,No,"6,000 km","₹7,500","₹1,96,000",2020,"₹3,85,000",Weekend Tours,/assets/ai_generated_images/bikes/jawa_standard.png
Yezdi,Roadster,Dark / Chrome,Petrol,334.0 cc,29.7 PS,29.0 Nm,28-32 km/l,140 km/h,9.2 Sec,6-Speed,12.5 L,300mm Disc,240mm Disc,Dual ABS,Telescopic Fork,Gas Canister,184 kg,790 mm,175 mm,1440 mm,Tubeless (Alloy),Digital LCD,No,Yes,"6,000 km","₹7,500","₹1,98,142",2022,"₹4,45,000",Urban Cruising,/assets/ai_generated_images/bikes/yezdi_roadster_dark_chrome.png
Yezdi,Roadster,Alpha / Trailster,Petrol (E20),334.0 cc,29.7 PS,29.0 Nm,30-34 km/l,140 km/h,9.2 Sec,6-Speed (A&S),12.5 L,300mm Disc,240mm Disc,Dual ABS,Telescopic Fork,Gas Canister,184 kg,790 mm,175 mm,1440 mm,Tubeless (Alloy),Digital LCD,Yes,Yes,"6,000 km","₹8,500","₹2,12,642*",2024-26,"₹4,95,000",Versatile Cruising,/assets/ai_generated_images/bikes/yezdi_roadster_alpha.png
Kawasaki,Z7 Hybrid,MY2026,Hybrid (Petrol+EV),451.0 cc,69.0 PS,60.4 Nm,27-31 km/l,190 km/h,3.9 Sec,6-Speed (AMT),14.0 L,300mm Dual Disc,220mm Disc,Dual Channel,41mm Telescopic,226 kg,795 mm,130 mm,"4.3"" TFT",Yes,Up to 60 km/h,₹11.00 - 12.00 Lakh,,,,,,,,,/assets/ai_generated_images/bikes/kawasaki_z7_hybrid.png
BMW,G 310 GS,Standard,Petrol (E10),313.0 cc,34.0 PS,28.0 Nm,28-30 km/l,143 km/h,7.7 Sec,6-Speed (A&S),11.5 L,300mm Disc,240mm Disc,Dual ABS,41mm USD (Long),Monoshock,175 kg,835 mm,180 mm,1420 mm,Metzeler Tourance,Digital LCD,No,Yes,"10,000 km","₹10,000","₹3,30,000",2026,"₹6,20,000",Adventure Touring,/assets/ai_generated_images/bikes/bmw_g310gs.png
BMW,R 1300 GS,Standard/Option 719,Petrol,1300.0 cc,145.0 PS,149.0 Nm,18.2 km/l,225 km/h,3.3 Sec,6-Speed (Shaft/ASA),19.0 L,310mm Dual Disc,285mm Disc,BMW Full Integral,EVO Telelever,EVO Paralever,237 kg,800-850 mm,195 mm,1518 mm,Alloy Tubeless,"6.5"" TFT",Yes,Yes,"10,000 km","₹35,000",Check on-road price,2024-26,"₹30,00,000",Luxury Touring,/assets/ai_generated_images/bikes/bmw_r1300gs.png
BMW,R 1300 GS,Adventure (GSA),Petrol,1300.0 cc,145.0 PS,149.0 Nm,17.5 km/l,215 km/h,3.5 Sec,6-Speed (Shaft/ASA),30.0 L,310mm Dual Disc,285mm Disc,BMW Full Integral,EVO Telelever,EVO Paralever,269 kg,870-890 mm,215 mm,1534 mm,Spoke Tubeless,"6.5"" TFT",Yes,Yes,"10,000 km","₹40,000",Check on-road price,2025-26,"₹35,00,000",Extreme Adventure,/assets/ai_generated_images/bikes/bmw_r1300gs_adventure.png
Triumph,Speed Twin,900 (Standard),Petrol (E20),900.0 cc,65.0 PS,80.0 Nm,24.0 km/l,175 km/h,5.4 Sec,5-Speed (A&S),12.0 L,310mm Disc,255mm Disc,Dual ABS,41mm KYB Fork,Twin Shocks (Adj),216 kg,765 mm,145 mm,1450 mm,Radial Tubeless,Analogue + LCD,No,Yes,"16,000 km","₹12,000","₹8,49,000",2022-26,"₹12,50,000",Classic Touring,/assets/ai_generated_images/bikes/triumph_speed_twin_900.png
Triumph,Speed Twin,1200 Standard,Petrol,1200.0 cc,100.0 PS,112.0 Nm,18-20 km/l,210 km/h,3.8 Sec,6-Speed (A&S),14.5 L,320mm Dual Disc,220mm Disc,Optimized ABS,43mm Marzocchi USD,Twin Shocks (Adj),216 kg,805 mm,140 mm,1413 mm,Radial Tubeless,LCD + TFT,Yes,Yes,"16,000 km","₹18,000","₹11,89,000",2019-26,"₹17,50,000",Sporty Classic,/assets/ai_generated_images/bikes/triumph_speed_twin_1200.png
Triumph,Speed Twin,1200 RS,Petrol,1200.0 cc,105.0 PS,112.0 Nm,17-19 km/l,225 km/h,3.6 Sec,6-Speed (Quickshift),14.5 L,Brembo Stylema Dual,220mm Disc,Cornering ABS,43mm Marzocchi Adj,Öhlins Twin (Adj),214 kg,810 mm,140 mm,1413 mm,Radial Tubeless,LCD + TFT,Yes,Yes,"16,000 km","₹22,000","₹13,50,000",2025-26,"₹20,00,000",Performance/Track,/assets/ai_generated_images/bikes/triumph_speed_twin_1200_rs.png
Harley,Softail,Standard,Petrol,1746.0 cc,86.0 bhp,144.0 Nm,18.0 km/l,170 km/h,4.8 Sec,6-Speed (Belt),13.2 L,300mm Disc,292mm Disc,Dual ABS,49mm Dual Bending,Mono (Adj),291 kg,680 mm,125 mm,1630 mm,Radial Tubeless,Digital (in Riser),No,Yes,"8,000 km","₹15,000","₹15,75,000",2020-26,"₹20,00,000",Custom Projects,/assets/ai_generated_images/bikes/harley_softail_standard.png
Aprilia,RS 660,Standard,Petrol,659.0 cc,100.0 PS,67.0 Nm,20.4 km/l,230 km/h,3.9 Sec,6-Spd (Quickshift),15.0 L,Dual 320mm Brembo,220mm Disc,Cornering ABS,41mm Kayaba USD,Kayaba Mono,183 kg,820 mm,135 mm,1370 mm,Radial Tubeless,"5"" Color TFT",Yes,Yes,"10,000 km","₹18,000",Check on-road price,2021-26,"₹22,00,000",Everyday Sport,/assets/ai_generated_images/bikes/aprilia_rs660.png
Aprilia,RS 660,Extrema,Petrol,659.0 cc,100.0 PS,67.0 Nm,20.4 km/l,230 km/h,3.8 Sec,6-Spd (Quickshift),15.0 L,Dual 320mm Brembo,220mm Disc,Cornering ABS,41mm Kayaba USD,Kayaba Mono,180 kg,820 mm,135 mm,1370 mm,Radial Tubeless,"5"" Color TFT",Yes,Yes,"10,000 km","₹22,000",Check on-road price,2023-26,"₹25,00,000",Track Day Focus,/assets/ai_generated_images/bikes/aprilia_rs660_extrema.png
Aprilia,RS 125,Modern (4T),Petrol,124.2 cc,15.0 bhp,11.2 Nm,40.0 km/l,120 km/h,14.5 Sec,6-Speed (Manual),14.5 L,300mm Radial,218mm Disc,Single ABS,40mm USD Fork,Mono (Adj),144 kg,820 mm,145 mm,1350 mm,Radial Tubeless,Digital LCD,Optional,Yes,"6,000 km","₹8,000","₹4,50,000",2021-26,"₹7,00,000",Beginner Sport,/assets/ai_generated_images/bikes/aprilia_rs125.png
Ducati,Multistrada,V2 (STD),Petrol,937.0 cc,113.0 bhp,94.0 Nm,18.0 km/l,215 km/h,3.8 Sec,6-Spd (Manual),20.0 L,Dual 320mm Brembo,265mm Disc,Cornering ABS,48mm USD (Adj),Mono (Adj),222 kg,830 mm,170 mm,1594 mm,Radial Tubeless,LCD Digital,Optional,Yes,"15,000 km","₹30,000",Check on-road price,2022-26,"₹22,00,000",Sport Touring,
Ducati,Multistrada,V2 S,Petrol,937.0 cc,113.0 bhp,94.0 Nm,18.0 km/l,215 km/h,3.7 Sec,6-Spd (Quickshift),20.0 L,Dual 320mm Brembo,265mm Disc,Cornering ABS,Skyhook Evo (Elec),Skyhook (Elec),225 kg,830 mm,170 mm,1594 mm,Radial Tubeless,"5"" Color TFT",Yes,Yes,"15,000 km","₹35,000",Check on-road price,2022-26,"₹25,00,000",Luxury Touring,
Ducati,Multistrada,V4,Petrol,1158.0 cc,170.0 PS,125.0 Nm,15.0 km/l,250 km/h,3.4 Sec,6-Spd (Manual),22.0 L,Dual 320mm Brembo,265mm Disc,Cornering ABS,50mm USD (Adj),Marzocchi Mono,240 kg,840 mm,220 mm,1567 mm,Radial Tubeless,"5"" Color TFT",Optional,Yes,"15,000 km","₹35,000",Check on-road price,2021-26,"₹30,00,000",Fast Touring,
Ducati,Multistrada,V4 S,Petrol,1158.0 cc,170.0 PS,125.0 Nm,15.0 km/l,250 km/h,3.4 Sec,6-Spd (Quickshift),22.0 L,330mm Stylema,265mm Disc,Cornering ABS,Skyhook (Elec),Skyhook (Elec),243 kg,840 mm,220 mm,1567 mm,Radial Tubeless,"6.5"" Color TFT",Yes,Yes,"15,000 km","₹45,000",Check on-road price,2021-26,"₹38,00,000",Tech Touring,
Ducati,Multistrada,V4 Rally,Petrol,1158.0 cc,170.0 PS,125.0 Nm,14.5 km/l,240 km/h,3.5 Sec,6-Spd (Quickshift),30.0 L,330mm Stylema,265mm Disc,Cornering ABS,Skyhook (Long),Skyhook (Long),260 kg,870 mm,230 mm,1572 mm,Spoke (Tubeless),"6.5"" Color TFT",Yes,Yes,"15,000 km","₹50,000",Check on-road price,2023-26,"₹45,00,000",Globe Trotting,
Ducati,Multistrada,Pikes Peak,Petrol,1158.0 cc,170.0 PS,125.0 Nm,14.0 km/l,270 km/h,3.2 Sec,6-Spd (Quickshift),22.0 L,330mm Stylema,265mm Disc,Cornering ABS,Öhlins Smart 2.0,Öhlins Mono,239 kg,840 mm,170 mm,1595 mm,"17"" Forged Radial","6.5"" Color TFT",Yes,Yes,"15,000 km","₹60,000",Check on-road price,2022-26,"₹48,00,000",Track-Day ADV,
Zontes,125,R (Naked),Petrol,124.7 cc,14.7 PS,13.0 Nm,45.0 km/l,120 km/h,14.0 Sec,6-Spd (Slipper),12.5 L,300mm Disc,Disc,Dual ABS,USD Fork,Monoshock,138 kg,785 mm,160 mm,1355 mm,Radial Tubeless,Color TFT,Yes,Yes,"4,000 km","₹6,000","₹1,60,000*",2026,"₹3,40,000",Premium Commuting,
Hero,Xtreme 200S,4V BS6 Phase 2,Petrol,199.6 cc,19.1 PS,17.35 Nm,35-38 km/l,125 km/h,4.5 Sec,5-Speed,12.8 L,276mm Disc,220mm Disc,Single ABS,Telescopic,7-Step Mono,155 kg,795 mm,165 mm,1337 mm,Tubeless,Full Digital,Yes,No,"3,000 km","₹5,500","₹1,41,000",2023,"₹1,95,000",Premium Touring,/assets/Bikes/Hero/images_black/Hero_Xtreme_200S.jpg
Bajaj,Pulsar P150,Single Disc,Petrol,149.68 cc,14.5 PS,13.5 Nm,48-52 km/l,110 km/h,5.6 Sec,5-Speed,14.0 L,260mm Disc,130mm Drum,Single ABS,Telescopic,Monoshock,140 kg,790 mm,165 mm,1352 mm,Tubeless,Semi-Digi,No,Yes,"5,000 km","₹4,200","₹1,16,750",2022,"₹1,65,000",Modern Commute,/assets/Bikes/BAJAJ/BAJAJ PULSAR P150.png
Bajaj,Pulsar P150,Twin Disc,Petrol,149.68 cc,14.5 PS,13.5 Nm,48-52 km/l,110 km/h,5.6 Sec,5-Speed,14.0 L,260mm Disc,230mm Disc,Single ABS,Telescopic,Monoshock,141 kg,790 mm,165 mm,1352 mm,Tubeless,Semi-Digi,No,Yes,"5,000 km","₹4,500","₹1,19,750",2022,"₹1,70,000",Sporty Commute,/assets/Bikes/BAJAJ/BAJAJ PULSAR P150.png
